Item #,Category,Name,Color,Description,Length,Height,Width,Diameter,Fabric/Material,Code,Min Qty,US Min Price,CDN Min Price,2nd Qty,US 2nd Price,CDN 2nd Price,3rd Qty,US 3rd Price,CDN 3rd Price,EQP Qty,US EQP Price,CDN EQP Price,Price Valid Through,Print,Embroider,Deboss/Emboss,Logomagic,Patch,Gemphoto/Heat Transfers,Laser Engrave,Personalization,Weight Per Carton Lbs,Quantity Per Box,Carton Dimensions
1054,"Women's, Clearance, Totes",Piazza Foldaway Shopper,Black,"^This stylish and versatile shopper features clear pocket with slider closure perfect for displaying schedules, coupons, convention badges and event tickets^Clear pocket allows for easy access to your essentials^Folds into zippered pouch for easy storage and carrying convenience^Carry tote dimensions: 15L 16H; Pouch dimensions: 15L x 5.75H^Carry tote: 18"" shoulder straps",15,16,0,0,210D Polyester,R,100,2.98,3.72,,,,,,,100,2.98,3.72,12/31/2015 0:00:00,1) Front upper panel center 10W 6H 2) Back upper panel center 10W 6H 3) Front lower pocket center 10W 3H,"Front upper panel center 5.5""dia",,,,Front upper panel center 10W 6H,,,29,150,23 x 17 x 13
1057,"Women's, Clearance, Totes",Piazza Foldaway Shopper,Deep Pink,"^This stylish and versatile shopper features clear pocket with slider closure perfect for displaying schedules, coupons, convention badges and event tickets^Clear pocket allows for easy access to your essentials^Folds into zippered pouch for easy storage and carrying convenience^Carry tote dimensions: 15L 16H; Pouch dimensions: 15L x 5.75H^Carry tote: 18"" shoulder straps",15,16,0,0,210D Polyester,R,100,2.98,3.72,,,,,,,100,2.98,3.72,12/31/2015 0:00:00,1) Front upper panel center 10W 6H 2) Back upper panel center 10W 6H 3) Front lower pocket center 10W 3H,"Front upper panel center 5.5""dia",,,,Front upper panel center 10W 6H,,,29,150,23 x 17 x 13
1066,"Women's, Clearance, Totes, Essential Styles",Paige Fashion Tote,Black,^Make a statement with this collapsible fashion tote^Folds into pouch for easy storage when not in use^Removable pouch can also be used to carry accessories^22â€ shoulder straps^Dual Decoration opportunity,18.5,14,6,0,210D Polyester,R,100,3.98,5.25,,,,,,,100,3.98,5.25,12/31/2015 0:00:00,Front panel center 5.5W 9H Back panel center 5.5 W 9H Detachable tote Front Panel Center 2W 3H Detachable tote back panel 2W 3H,"Front panel center 4"" dia. Back panel center 4"" dia.",,,,Front panel center 5.5W 9H,,,24,150,23 x 17 x 13
1067,"Women's, Clearance, Totes, Essential Styles",Paige Fashion Tote,Royal Blue,^Make a statement with this collapsible fashion tote^Folds into pouch for easy storage when not in use^Removable pouch can also be used to carry accessories^22â€ shoulder straps^Dual Decoration opportunity,18.5,14,6,0,210D Polyester,R,100,3.98,5.25,,,,,,,100,3.98,5.25,12/31/2015 0:00:00,Front panel center 5.5W 9H Back panel center 5.5 W 9H Detachable tote Front Panel Center 2W 3H Detachable tote back panel 2W 3H,"Front panel center 4"" dia. Back panel center 4"" dia.",,,,Front panel center 5.5W 9H,,,24,150,23 x 17 x 13
1068,"Women's, Clearance, Totes, Essential Styles",Paige Fashion Tote,Deep Pink,^Make a statement with this collapsible fashion tote^Folds into pouch for easy storage when not in use^Removable pouch can also be used to carry accessories^22â€ shoulder straps^Dual Decoration opportunity,18.5,14,6,0,210D Polyester,R,100,3.98,5.25,,,,,,,100,3.98,5.25,12/31/2015 0:00:00,Front panel center 5.5W 9H Back panel center 5.5 W 9H Detachable tote Front Panel Center 2W 3H Detachable tote back panel 2W 3H,"Front panel center 4"" dia. Back panel center 4"" dia.",,,,Front panel center 5.5W 9H,,,24,150,23 x 17 x 13
1069,"Women's, Clearance, Totes, Essential Styles",Paige Fashion Tote,Turquoise,^Make a statement with this collapsible fashion tote^Folds into pouch for easy storage when not in use^Removable pouch can also be used to carry accessories^22â€ shoulder straps^Dual Decoration opportunity,18.5,14,6,0,210D Polyester,R,100,3.98,5.25,,,,,,,100,3.98,5.25,12/31/2015 0:00:00,Front panel center 5.5W 9H Back panel center 5.5 W 9H Detachable tote Front Panel Center 2W 3H Detachable tote back panel 2W 3H,"Front panel center 4"" dia. Back panel center 4"" dia.",,,,Front panel center 5.5W 9H,,,24,150,23 x 17 x 13
1076,"Backpacks, Totes",Transitions Backpack Tote,Black,"^Versatile tote easily converts to a backpack by tucking handles into main compartment of tote and attaching adjustable backpack straps ^When used as a tote, conceal backpack straps by tucking into back pocket ^ Front pocket with pull tab and Velcro closure (fits a tablet with a case) ^Large main compartment with cinch top closure ^ Side mesh water bottle pockets",17,16.75,4.5,0,600D Polyester,PQ2R,25,15.25,19.98,50,12.98,16.98,100,11.48,15.25,300,10.98,14.48,12/31/2015 0:00:00,Front pocket lower center 6W 4H,"Front pocket lower center 4"" dia.",,,,Front pocket center 5W 4H,,,36,50,23 x 17 x 13
1077,"Backpacks, Totes",Transitions Backpack Tote,Royal,"^Versatile tote easily converts to a backpack by tucking handles into main compartment of tote and attaching adjustable backpack straps ^When used as a tote, conceal backpack straps by tucking into back pocket ^ Front pocket with pull tab and Velcro closure (fits a tablet with a case) ^Large main compartment with cinch top closure ^ Side mesh water bottle pockets",17,16.75,4.5,0,600D Polyester,PQ2R,25,15.25,19.98,50,12.98,16.98,100,11.48,15.25,300,10.98,14.48,12/31/2015 0:00:00,Front pocket lower center 6W 4H,"Front pocket lower center 4"" dia.",,,,Front pocket center 5W 4H,,,36,50,23 x 17 x 13
1078,"Backpacks, Totes",Transitions Backpack Tote,Urban Camo,"^Versatile tote easily converts to a backpack by tucking handles into main compartment of tote and attaching adjustable backpack straps ^When used as a tote, conceal backpack straps by tucking into back pocket ^ Front pocket with pull tab and Velcro closure (fits a tablet with a case) ^Large main compartment with cinch top closure ^ Side mesh water bottle pockets",17,16.75,4.5,0,600D Polyester,PQ2R,25,16.75,23.48,50,14.25,20.25,100,12.48,17.75,300,11.98,17.25,12/31/2015 0:00:00,Front pocket lower center 6W 4H,"Front pocket lower center 4"" dia.",,,,Front pocket center 5W 4H,,,36,50,23 x 17 x 13
1080,"Women's, Clearance, Totes, Living Green, Essential Styles",Tempo Collapsible Shopper,Black,^This large capacity shopper collapses and zips into itself for easy storage and carrying convenience^Pouch dimensions: 7L 6H^Slash pocket^Dual decoration opportunity,19,15.5,6,0,210D Polyester,PQ2R,100,5.48,6.98,300,4.75,6.25,600,4.25,5.48,1000,3.98,5.25,12/31/2015 0:00:00,Front pocket center 4W 4H Front panel center 10W 9H Back panel center 10W 9H,,,,,Front pocket center 3W 3H,,,32,200,23 x 17 x 13
