ItemNo,,ItemName,Material,CatalogDescription,ColorHeading,ColorList,Category,SubCategory,CatalogSize,PackagingDetails,CatalogWeight,Disclaimers,Standard Master Carton Width,Standard Master Carton Length,Standard Master Carton Depth,Standard Master Carton Quantity,Standard Master Carton Actual Weight,PriceQtyCol1,PriceQtyCol2,PriceQtyCol3,PriceQtyCol4,PriceQtyCol5,PriceUSCol1,PriceUSCol2,PriceUSCol3,PriceUSCol4,PriceUSCol5,PriceHeadingType,PriceHeadingUS,Icon_Brand_Name,Photo_Feature,ItemNew,NewCatText,CategoryImageName,SampleTagColors,RecPenCatText,RecPenPriceCol1,RecPenPriceCol2,RecPenPriceCol3,RecPenPriceCol4,RecPenPriceCol5,RecPenPriceCDNCol1,RecPenPriceCDNCol2,RecPenPriceCDNCol3,RecPenPriceCDNCol4,RecPenPriceCDNCol5,CatalogDescPackaging,RecPenFilename,BrandImageName,GroupSubName,GroupName,CategoryShopping,SubCategoryShopping
0011-01,INLINE,elleven™ USB Memory Pen 2GB,Brass,High shine chrome barrel with signature elleven brand detailing. Flash drive integrated into upper barrel. Plug and play technology on Windows XP or above and Mac OSX or higher.,Colors:,Silver or Silver Memory Express,Memory,Usb Memory (Memory),"5.65"" H x .6"" D",2-piece black gift box,,,15.15748,14.17323,8.66142,250,23.54,,,,,,,,,,,5R,US$,Elleven.eps,0011-01SL_D.eps,,,Technology_L.eps,Colors: Silver or Silver Memory Express,,,,,,,,,,,,High shine chrome barrel with signature elleven brand detailing. Flash drive integrated into upper barrel. Plug and play technology on Windows XP or above and Mac OSX or higher. 2-piece black gift box,,Elleven.eps,elleven™ USB Memory Pen 2GB,elleven™ USB Memory Pen 2GB,,
0011-02,INLINE,elleven™ Dual Ballpoint Stylus,Brass,"Innovative elleven™ design. High-gloss silhouette designed to work with most tablet computers and mobile devices, including the iPad and iPhone. Stylus uses capacitive touch technology. Includes premium black ballpoint ink cartridge.",Color:,Black,Metal Pens,Metal Stylus Pens (Metal Pens),"5.73"" H x .41"" D",2-piece black gift box,,,6.69291,12.59843,12.59843,500,25.916,60,150,300,450,600,8.58,8.23,7.88,7.55,6.98,5R,US$,Elleven.eps,0011-02BK_D.eps,,,Pens_R.eps,Color: Black,,,,,,,,,,,,"Innovative elleven™ design. High-gloss silhouette designed to work with most tablet computers and mobile devices, including the iPad and iPhone. Stylus uses capacitive touch technology. Includes premium black ballpoint ink cartridge. 2-piece black gift box",,Elleven.eps,elleven™ Dual Ballpoint Stylus,elleven™ Dual Ballpoint Stylus,Office,Pens
0011-05,INLINE,elleven™ Traverse Ballpoint Stylus,Aluminum,"Streamline your business travelling with the elleven™ Traverse collection. Incredibly unique design features a high gloss barrel with an intricate, 3D geometric cut bottom barrel. You have to feel the barrel! Soft rubber stylus ideal for most mobile devices, including the iPad and iPhone. Includes premium black ballpoint ink cartridge.",Colors:,Black or Silver,Metal Pens,Metal Stylus Pens (Metal Pens),"5.55"" H x .44"" D",Velvet pouch,,,14.37008,10.62992,6.10236,400,25.08,48,150,300,450,600,6.13,5.88,5.63,5.38,4.98,5R,US$,Elleven.eps,0011-05SL_D-1.eps,,,Pens_L.eps,Colors: Black or Silver,,,,,,,,,,,,"Streamline your business travelling with the elleven™ Traverse collection. Incredibly unique design features a high gloss barrel with an intricate, 3D geometric cut bottom barrel. You have to feel the barrel! Soft rubber stylus ideal for most mobile devices, including the iPad and iPhone. Includes premium black ballpoint ink cartridge. Velvet pouch",,Elleven.eps,elleven™ Traverse Ballpoint Stylus,elleven™ Traverse Ballpoint Stylus,,
0011-09,INLINE,elleven™ Vapor Dual Ballpoint Stylus,Brass,"Exclusive Leed's design features stunning midnight chrome finishing with signature Vapor detailing on bottom barrel. Rubberized capacitive touch stylus tip is ideal for touch screens such as iPhones and iPads as well as everyday uses such as touchscreen payment pads used in grocery stores, gas stations, department stores and ATMs. Pen also includes premium black ink cartridge.",Color:,Graphite,Metal Pens,Metal Stylus Pens (Metal Pens),"5.85"" H x .38"" D",2-piece black gift box,,,6.69291,12.59843,12.59843,500,25.3,48,150,300,450,600,10.43,10.02,9.58,9.17,8.48,5R,US$,Elleven.eps,0011-09GA_D-1.eps,Yes,New,Pens_R.eps,Color: Graphite,,,,,,,,,,,,"Exclusive Leed's design features stunning midnight chrome finishing with signature Vapor detailing on bottom barrel. Rubberized capacitive touch stylus tip is ideal for touch screens such as iPhones and iPads as well as everyday uses such as touchscreen payment pads used in grocery stores, gas stations, department stores and ATMs. Pen also includes premium black ink cartridge. 2-piece black gift box",,Elleven.eps,elleven™ Vapor Dual Ballpoint Stylus,elleven™ Vapor Dual Ballpoint Stylus,Office,Pens
0011-10,INLINE,elleven™ Zippered Padfolio,Dot Dobby Nylon with Scuba,"Zippered closure. Techtrap elastic interior organizer. Holds an iPad. Front cover access pocket with business card holders and media organizers. 4 USB memory flash drive holders. 2 business card holders. Elastic pen loop. Gusseted document pocket. Includes 8.5"" x 11"" elleven™ series writing pad.",Color:,Black,Stationery,Padfolios & Writing Pads (Stationery),"14"" H x 11"" W x 1.88"" L",1-piece premium gift box,,,20.66929,11.81102,14.76378,12,28.6,24,100,150,250,400,31.97,30.67,29.37,28.07,25.98,5R,US$,Elleven.eps,0011-10BK_D.eps,,,TechStationery_L.eps,Color: Black,0011-10 + Recommended pen 1035-81,34.95,33.65,32.35,31.05,28.96,42.47,40.87,39.29,37.7,35.17,"Zippered closure. Techtrap elastic interior organizer. Holds an iPad. Front cover access pocket with business card holders and media organizers. 4 USB memory flash drive holders. 2 business card holders. Elastic pen loop. Gusseted document pocket. Includes 8.5"" x 11"" elleven™ series writing pad. 1-piece premium gift box",,Elleven.eps,elleven™ Zippered Padfolio,elleven™ Zippered Padfolio,Mobile Tech,Tech Stationery & Cases
0011-11,INLINE,elleven™ Small Techtrap,Nylon,"Use our techtrap technology to transport your iPhone, Android phone, iPod, iPad Mini or other technology devices plus their complementing cables and power devices. Place into any bag for convenient storage or transportation.",Color:,Gray,Technology,Cases & Accessories (Technology),"8.75"" H x .5"" W x 6.6"" L",Bulk,,,14.76378,14.37008,10.23622,60,20.46,48,150,300,450,600,12.28,11.78,11.28,10.78,9.98,5R,US$,Elleven.eps,0011-11GY_D-1.eps,,,TechAccessories_L.eps,Color: Gray,,,,,,,,,,,,"Use our techtrap technology to transport your iPhone, Android phone, iPod, iPad Mini or other technology devices plus their complementing cables and power devices. Place into any bag for convenient storage or transportation. Bulk",,Elleven.eps,elleven™ Small Techtrap,elleven™ Small Techtrap,Mobile Tech,Tech Accessories
0011-17,INLINE,elleven™ Jet Setter Travel Wallet,420d Poly,"Take storage and organization to a whole new level for any jet setter. Features a quick storage passport slot, four slotted pockets for credit cards, mesh ID holder, zippered coin pocket, pen holder, slotted pocket for boarding pass, and a techtrap area for a Smartphone, USB Memory, or other item.",Color:,Black,Travel Gifts,Travel Wallets (Travel Gifts),"9.25"" H x 1.25"" W x 5"" L",1-piece premium gift box,,,16.54,17.52,10.24,36,19.84,36,100,150,250,400,18.43,17.68,16.93,16.18,14.98,5R,US$,Elleven.eps,0011-17BK_D.eps,,,LuggageTravelGifts_L.eps,Color: Black,,,,,,,,,,,,"Take storage and organization to a whole new level for any jet setter. Features a quick storage passport slot, four slotted pockets for credit cards, mesh ID holder, zippered coin pocket, pen holder, slotted pocket for boarding pass, and a techtrap area for a Smartphone, USB Memory, or other item. 1-piece premium gift box",,Elleven.eps,elleven™ Jet Setter Travel Wallet,elleven™ Jet Setter Travel Wallet,"Drinkware, Home & Travel",Luggage & Travel Gifts
0011-20,INLINE,elleven™ Jr. Zippered Padfolio,Dot Dobby Nylon with Scuba,"Zippered closure. Techtrap elastic interior organizer. Holds an iPad. Front cover pocket with business card holders. Interior organizational panel includes five business card holders and one USB port. Pen loop. Document folder. Includes 5"" x 8"" writing pad.",Color:,Black,Stationery,Padfolios & Writing Pads (Stationery),"11"" H x 8.625"" W x 1.5"" L",1-piece premium gift box,,,18.50394,17.12598,12.40157,24,31.68,36,100,150,250,400,25.82,24.77,23.72,22.67,20.98,5R,US$,Elleven.eps,0011-20BK_D.eps,,,TechStationery_L.eps,Color: Black,0011-20 + Recommended pen 1035-81,28.8,27.75,26.7,25.65,23.96,34.95,33.65,32.39,31.1,29.05,"Zippered closure. Techtrap elastic interior organizer. Holds an iPad. Front cover pocket with business card holders. Interior organizational panel includes five business card holders and one USB port. Pen loop. Document folder. Includes 5"" x 8"" writing pad. 1-piece premium gift box",,Elleven.eps,elleven™ Jr. Zippered Padfolio,elleven™ Jr. Zippered Padfolio,Mobile Tech,Tech Stationery & Cases
0011-23,INLINE,elleven™ Electronics Manager,Furong,"Manage and protect your electronics with an EVA Molded case. In today's world where you need cords, chargers, and accessories to constantly power and use today's devices like iPad, iPhone or other Tablets and Smartphones, the elleven Electronics Manager keeps those items all together. Two mesh pockets, a techtrap interior, and a protective nylex pocket keeps your items safe inside the zippered case.",Color:,Black,Technology,Cases & Accessories (Technology),"7.63"" H x 6"" W x 1.25"" L",Bulk,,,19.29134,19.29134,8.46457,36,18.04,24,100,150,250,400,20.88,20.03,19.18,18.35,16.98,5R,US$,Elleven.eps,0011-23BK_D-1.eps,,,TechAccessories_R.eps,Color: Black,,,,,,,,,,,,"Manage and protect your electronics with an EVA Molded case. In today's world where you need cords, chargers, and accessories to constantly power and use today's devices like iPad, iPhone or other Tablets and Smartphones, the elleven Electronics Manager keeps those items all together. Two mesh pockets, a techtrap interior, and a protective nylex pocket keeps your items safe inside the zippered case. Bulk",,Elleven.eps,elleven™ Electronics Manager,elleven™ Electronics Manager,Mobile Tech,Tech Accessories
0011-26,INLINE,elleven™ Traverse RFID Travel Wallet,Vinyl,"Streamline your business travelling with the elleven™ Traverse collection. RFID Technology encases your belongings to protect against identify theft. Fully featured travel wallet that has exterior and interior slotted pockets for your boarding pass, passport, and all other travel documents. Includes a privacy mesh ID holder, elastic pen holder, and additional slots for credit cards. Features multiple elastic slots to hold business cards. Perfect for international and domestic travel.",Color:,Black,Travel Gifts,Travel Wallets (Travel Gifts),"10"" H x 5"" W x 1"" L",1-piece premium gift box,,,11.41732,11.02362,11.22047,24,14.52,24,100,150,250,400,20.88,20.03,19.18,18.35,16.98,5R,US$,Elleven.eps,0011-26BK_D-1.eps,,,LuggageTravelGifts_L.eps,Color: Black,,,,,,,,,,,,"Streamline your business travelling with the elleven™ Traverse collection. RFID Technology encases your belongings to protect against identify theft. Fully featured travel wallet that has exterior and interior slotted pockets for your boarding pass, passport, and all other travel documents. Includes a privacy mesh ID holder, elastic pen holder, and additional slots for credit cards. Features multiple elastic slots to hold business cards. Perfect for international and domestic travel. 1-piece premium gift box",,Elleven.eps,elleven™ Traverse RFID Travel Wallet,elleven™ Traverse RFID Travel Wallet,,
