ItemNo,Item Status,ItemName,Material,PatentInfo,CatalogDescription,MaterialDescPatent,ColorList,CatalogSize,ImprintTextAll,PackagingAndWeight,PackagingDetails,CatalogWeight,Disclaimers,Batteries,CatalogRuncharges,PriceQtyCol1,PriceQtyCol2,PriceQtyCol3,PriceQtyCol4,PriceQtyCol5,PriceUSCol1,PriceUSCol2,PriceUSCol3,PriceUSCol4,PriceUSCol5
SM-3934,New,Jive Power Kit,EVA,,"The Jive Power Kit solves all of your power needs. Perfect for travel, this kit includes the 2000 mAh Jive Charger, the Mini Auto Car Charger and a Micro USB to USB charging cable all packed inside an EVA case. Jive input: 5V/500mA; output: 5V/1000mA. Mini Auto Car Charger input: 12-24 Volts; Output: 5V/1Amp.","EVA. The Jive Power Kit solves all of your power needs. Perfect for travel, this kit includes the 2000 mAh Jive Charger, the Mini Auto Car Charger and a Micro USB to USB charging cable all packed inside an EVA case. Jive input: 5V/500mA; output: 5V/1000mA. Mini Auto Car Charger input: 12-24 Volts; Output: 5V/1Amp.","Black, Lime Green, Red, Royal Blue or White","1.75"" H x 3.5"" W x 4.75"" L","ColorPrint: 1-1/2"" H x 2-1/2"" W (1 color only)",Bulk Packed / 31 lbs. per case of 80,Bulk Packed, / 31 lbs. per case of 80,Media device not included.,,,25,125,250,375,500,15.29 ,14.61 ,13.94 ,13.26 ,12.59 
SM-3940,New,Dezign Earbuds,Plastic,,Use with any standard audio device. The plastic case offers a trendy storage option. 3.5mm audio jack and 46-inch earbuds cable.,Plastic. Use with any standard audio device. The plastic case offers a trendy storage option. 3.5mm audio jack and 46-inch earbuds cable.,"Black, Lime Green, Red, Royal Blue or White","3"" H x .69"" W x 1.5"" L","ColorPrint per side: 2"" H x 3/4"" W","Individually Polybagged / 29 lbs. per case of 300
",Individually Polybagged, / 29 lbs. per case of 300,Media device not included.,,Level 3,100,300,500,750,1000,3.12 ,2.83 ,2.55 ,2.27 ,1.99 
SM-3962,New,Martin Dual Port Car Charger,Plastic,,Dual auto plug adapter including two USB ports. Plug into accessory power outlet to charge personal devices. Compatible with smartphones and personal devices that provide USB cable for charging (including iPad® and tablet devices). Input: 12-24 Volts. Two USB ports (1 Amp & 2.1A output/5V) USB cable not included.,Plastic. Dual auto plug adapter including two USB ports. Plug into accessory power outlet to charge personal devices. Compatible with smartphones and personal devices that provide USB cable for charging (including iPad® and tablet devices). Input: 12-24 Volts. Two USB ports (1 Amp & 2.1A output/5V) USB cable not included.,"Clear, Translucent Black, Translucent Red or Translucent Royal Blue","2"" H x 1.5"" W x 2.75"" L","ColorPrint on port base: 1/2"" H x 3/8"" W (1 color only)
ColorPrint on insert arm: 3/8"" H x 1-1/2"" W (1 color only)",Individually Polybagged / 33 lbs. per case of 500,Individually Polybagged, / 33 lbs. per case of 500,Media device not included.,,Level 3,100,300,500,750,1000,4.46 ,4.17 ,3.88 ,3.58 ,3.29 
SM-3973,New,2-in-1 Music Splitter Keychain with Styl,ABS Plastic,,Universal 3.5mm audio splitter allows two people to listen to the same media devise at the same time with their own set of earbuds. The keychain keeps the product handy at all times. Mini-stylus is included for touch screen devices.,ABS Plastic. Universal 3.5mm audio splitter allows two people to listen to the same media devise at the same time with their own set of earbuds. The keychain keeps the product handy at all times. Mini-stylus is included for touch screen devices.,"Red, Royal Blue or White",".56"" H x 1.188"" W x 2.125"" L","ColorPrint per side: 3/4"" H x 1/2"" W (1 color only)", Bulk Packed / 22 lbs. per case of 500,Bulk Packed, / 22 lbs. per case of 500,Media device not included.,,Level 1,150,450,750,1125,1500,2.64 ,2.46 ,2.27 ,2.08 ,1.89 
SM-3980,New,Jet Square Power Bank,ABS Plastic,,"The 2000 mAh rechargeable lithium polymer Grade A battery is enough to charge smartphones, MP3 players and more. Includes a strap for easy portability. Reusable power bank charges via USB cable (included) which can recharge the battery backup or be used to charge devices with micro-USB input like Android smartphones from Samsung, Motorola, HTC, Nokia, and others. Blue LED indicator light turns on when device is fully charged. Input: 5V/500mA. Output: 5V/1000mA.","ABS Plastic. The 2000 mAh rechargeable lithium polymer Grade A battery is enough to charge smartphones, MP3 players and more. Includes a strap for easy portability. Reusable power bank charges via USB cable (included) which can recharge the battery backup or be used to charge devices with micro-USB input like Android smartphones from Samsung, Motorola, HTC, Nokia, and others. Blue LED indicator light turns on when device is fully charged. Input: 5V/500mA. Output: 5V/1000mA.","Black, Lime Green, Red, Royal Blue or White",".375"" H x 2.375"" W x 2.75"" L","ColorPrint: 2"" H x 1-1/2"" W",Individually Polybagged / 24 lbs. per case of 100,Individually Polybagged, / 24 lbs. per case of 100,Media device not included.,,Level 3,25,125,250,375,500,14.26 ,13.19 ,12.13 ,11.06 ,9.99 
SM-7239,New,The Checkout Shopper Tote,80g Non-Woven Polypropylene,,"Open main compartment with double 28"" handles. Dual carry handle. Front pocket. Reusable and a great alternative to plastic bags.","80g Non-Woven Polypropylene. Open main compartment with double 28"" handles. Dual carry handle. Front pocket. Reusable and a great alternative to plastic bags.","Gray, Lime Green, Purple, Red or Royal Blue","15"" H x 13"" W x 7"" L","ColorPrint: 7"" H x 8"" W","Bulk Packed / 20 lbs. per case of 100
Run Charge: Level 3",Bulk Packed,Bulk Packed / 20 lbs. per case of 100,,,Level 3, 	250 , 	750 ," 	1,250 "," 	1,875 "," 	2,500 ", 	2.38 , 	2.23 , 	2.08 , 	1.94 , 	1.79 
SM-7295,New,The Free Throw Drawstring Cinch,210d Polyester,,Open main compartment with drawstring rope closure. Front pocket. Side mesh pocket.,210d Polyester. Open main compartment with drawstring rope closure. Front pocket. Side mesh pocket.,"Gray, Green, Purple, Red or Royal Blue","16"" H x 14"" W","ColorPrint: 7"" H x 8"" W","Bulk Packed / 24 lbs. per case of 200
Run Charge: Level 3",Bulk Packed,Bulk Packed / 24 lbs. per case of 200,,,Level 3, 	150 , 	700 ," 	1,250 "," 	1,875 "," 	2,500 ", 	3.34 , 	3.15 , 	2.97 , 	2.78 , 	2.59 
HL-592,New,22-oz. Tuf Tumbler Cup,Plastic,,The NEW HumphreyLine 22-ounce Tuf Tumblers are made from heavy-duty plastic. Microwave and top-rack dishwasher safe. Made in USA.,Plastic. The NEW HumphreyLine 22-ounce Tuf Tumblers are made from heavy-duty plastic. Microwave and top-rack dishwasher safe. Made in USA.,"Amethyst, Black, Emerald, Natural, Pink, Ruby, Sapphire, Tangerine, White or Yellow","6"" H x 3.5"" D, 22 oz.","ColorPrint one side only: 4-1/2"" H x 4-3/8"" W (up to 2 spot colors)
ColorPrint second side: 4-1/2"" H x 4-3/8"" W (1 color only)
ColorPrint: 4-1/2"" H x 9"" W (wrap, 1 color only)",Bulk Packed / 37 lbs. per case of 125,Bulk Packed,37 lbs. per case of 125,Optional matching lids available at $0.50 (C) each.  Optional Straws also available at $0.20 (C) each.  All optional accessories packed separately.,, Level 1,250,500,1000,2500,5000,1.85,1.7,1.6,1.5,1.4
SM-3923,New,Sleek Aluminum Power Bank,Aluminum,,"This 4000 mAh rechargeable lithium polymer Grade A battery device is enough to charge smartphones, MP3 players and tablets with a total output of 5V/2A. The dual output allows you to charge two devices simultaneously. Reusable power bank charges via USB cable (included) which can recharge the battery backup or be used to charge up devices with a micro-USB input like Android smartphones from Samsung, Motorola, HTC, Nokia, and others. Input 5V 1000mA. Output 1:5V 2000mA/Output 2:5V 1000mA.","Aluminum. This 4000 mAh rechargeable lithium polymer Grade A battery device is enough to charge smartphones, MP3 players and tablets with a total output of 5V/2A. The dual output allows you to charge two devices simultaneously. Reusable power bank charges via USB cable (included) which can recharge the battery backup or be used to charge up devices with a micro-USB input like Android smartphones from Samsung, Motorola, HTC, Nokia, and others. Input 5V 1000mA. Output 1:5V 2000mA/Output 2:5V 1000mA.","Gold, Gray or Silver",".375"" H x 2.625"" W x 4.75"" L","Laser Engraved per side: 4"" H x 1-1/2"" W (engraves tone-on-tone)
ColorPrint per side: 3"" H x 1-1/2"" W","Individually gift boxed / 29 lbs. per case of 100
",Individually gift boxed,29 lbs. per case of 100,Media device not included.,, Level 3,25,125,250,375,500,23.86,22.39,20.92,19.46,17.99
SM-3947,New,Vulture Earbuds & Mobile Phone Stand,Plastic,,Use with any standard audio device. The plastic case doubles as an earbud storage unit and mobile phone stand. The keychain function allows you to always have these earbuds with you at all times. 3.5mm audio jack and 39-inch earbud cable.,Plastic. Use with any standard audio device. The plastic case doubles as an earbud storage unit and mobile phone stand. The keychain function allows you to always have these earbuds with you at all times. 3.5mm audio jack and 39-inch earbud cable.,"Clear, Translucent Black, Translucent Green, Translucent Red or Translucent Royal Blue",".69"" H x 1.56"" W x 3.06"" L","ColorPrint centered on body vertical imprint: 1-1/4"" H x 1-3/4"" W (default imprint location)
ColorPrint centered on body horizontal imprint: 1-3/4"" H x 1-1/4"" W",Individually polybagged / 25 lbs. per case of 500,Individually polybagged,25 lbs. per case of 500,Media device not included.,, Level 3,100,300,500,750,1000,3.3,3.02,2.74,2.47,2.19
SM-3975,New,MFI Certified Beetle Charging Cables,EVA,,Zippered travel case includes 2 USB cables for charging and/or syncing Apple® devices/most Android devices. Cables are MFI certified. One cable with micro USB connector and one with 8-pin lightning connector. Cable lengths: 39inches/ea. COMING SOON!,EVA. Zippered travel case includes 2 USB cables for charging and/or syncing Apple® devices/most Android devices. Cables are MFI certified. One cable with micro USB connector and one with 8-pin lightning connector. Cable lengths: 39inches/ea. COMING SOON!,Black or White,"1.25"" H x 3.25"" D","ColorPrint (1-1/2"" Dia. 1 color only)",Bulk Packed / 32 lbs. per case of 180,Bulk Packed,32 lbs. per case of 180,Media device not included.,, Level 3,25,125,250,375,500,20.39,19.46,18.54,17.61,16.69
SM-7189,New,The Cube Cooler Bag,80g Non-Woven Polypropylene,,Insulated with heat-sealed water-resistant lining. Zippered main compartment. Open front pocket. Clear ID window. Dual carry handle.,80g Non-Woven Polypropylene. Insulated with heat-sealed water-resistant lining. Zippered main compartment. Open front pocket. Clear ID window. Dual carry handle.,"Black, Lime Green, Orange, Purple, Red or Royal Blue","8.5"" H x 8"" W x 6"" L","ColorPrint: 8"" H x 8"" W",Bulk Packed / 29 lbs. per case of 200,Bulk Packed,29 lbs. per case of 200,,, Level 3,200,475,750,1125,1500,2.93,2.75,2.56,2.38,2.19
HL-102,New,16-oz. Pail - Offset Only,Plastic,,16-ounce pail is made with premium materials. Excellent for packing with goodies.  Includes handle.  Optional shovel also available.  Made in USA.  Only available with Offset Decoration.  Contact factory or visit website for further details.,Plastic. 16-ounce pail is made with premium materials. Excellent for packing with goodies.  Includes handle.  Optional shovel also available.  Made in USA.  Only available with Offset Decoration.  Contact factory or visit website for further details.,Natural or White,"3"" H x 4.5"" D, 16 oz.","Offset per side: 2"" H x 5"" W","
Run Charge: Level 1
Must specify handle color or White will be used as default.  Optional Shovels available at $0.25 (G) each.  Handles and Optional Shovels are available in: White, Red, Blue or Black.",Bulk Packed,,"Must specify handle color or White will be used as default.  Optional Shovels available at $0.25 (G) each.  Handles and Optional Shovels are available in: White, Red, Blue or Black.",, Level 1,5000,7500,10000,17500,25000,0.95 ,0.90 ,0.85 ,0.80 ,0.75 
HL-104,New,32-oz. Sand Pail,Plastic,,32-ounce sand pail is made with premium materials. Excellent for packing with goodies.  Includes handle. Made in USA.  Optional shovel & decorated lid available.  Offset decoration also available.  Contact factory or visit website for further details.,Plastic. 32-ounce sand pail is made with premium materials. Excellent for packing with goodies.  Includes handle. Made in USA.  Optional shovel & decorated lid available.  Offset decoration also available.  Contact factory or visit website for further details.,"Blue, Granite, Green, Lime Green, Natural, Neon Green, Neon Orange, Neon Pink, Neon Purple, Neon Yellow, Orange, Process Blue, Purple, Red, Teal, White or Yellow","5.25"" H x 4.5"" D, 32 oz.","ColorPrint one side only: 3-1/2"" H x 4-1/2"" W
ColorPrint per side: 3-1/2"" H x 4-1/2"" W (1 color only)
ColorPrint: 3-1/2"" H x 11-3/4"" W (wrap, 1 color only)
Offset one side only: 3-1/2"" H x 4-1/2"" W
Offset per side: 3-1/2"" H x 4-1/2"" W (1 color only)
Offset: 3-1/2"" H x 11-3/4"" W (wrap, 1 color only)","Bulk Packed / 50 lbs. per case of 250
Run Charge: Level 1
Must specify handle color or White will be used as default.  Optional Shovels available at $0.25 (G) each.  Handles and Optional Shovels are available in: White, Red, Blue or Black.",Bulk Packed,Bulk Packed / 50 lbs. per case of 250,"Must specify handle color or White will be used as default.  Optional Shovels available at $0.25 (G) each.  Handles and Optional Shovels are available in: White, Red, Blue or Black.",, Level 1,250,500,1000,2500,5000,1.45 ,1.40 ,1.35 ,1.30 ,1.25 
HL-105,New,"9-1/4"" Flyer",Plastic,,"9-1/4"" Solid color plastic flyer lets your message soar.  Made of premium materials that will not shatter or break, in addition to being food-contact safe.  Made in USA.","Plastic. 9-1/4"" Solid color plastic flyer lets your message soar.  Made of premium materials that will not shatter or break, in addition to being food-contact safe.  Made in USA.","Black, Blue, Burgundy, Green, Lime Green, Navy Blue, Neon Green, Neon Orange, Neon Pink, Orange, Purple, Red, Teal, White or Yellow","9.25"" D","ColorPrint (4-3/4"" Dia.)","Bulk Packed / 37 lbs. per case of 100
Run Charge: Level 1",Bulk Packed,Bulk Packed / 37 lbs. per case of 100,,, Level 1,250,500,1000,2500,5000,1.20 ,1.15 ,1.12 ,0.99 ,0.90 
HL-105C,New,"9-1/4"" Camo Flyer",Plastic,,"9-1/4"" Camouflage-styled flyer has been tested for child safety and is designed to be pet safe. Made in USA. Camouflage pattern will vary on each flyer.","Plastic. 9-1/4"" Camouflage-styled flyer has been tested for child safety and is designed to be pet safe. Made in USA. Camouflage pattern will vary on each flyer.",Camouflage,"9.25"" D","ColorPrint (4-3/4"" Dia.)","Bulk Packed / 37 lbs. per case of 100
Run Charge: Level 1
Camouflage pattern will vary on each item.  Dark imprint colors are not recommended.",Bulk Packed,Bulk Packed / 37 lbs. per case of 100,Camouflage pattern will vary on each item.  Dark imprint colors are not recommended.,, Level 1,250,500,1000,2500,5000,1.70 ,1.65 ,1.60 ,1.44 ,1.30 
HL-105DP,New,"Direct Process Printed 9-1/4"" Flyer",Plastic,,"Direct Process-printed, 9-1/4"" flyer lets your message soar.  Made of premium materials that will not shatter or break, in addition to being food-contact safe.  Made in USA.","Plastic. Direct Process-printed, 9-1/4"" flyer lets your message soar.  Made of premium materials that will not shatter or break, in addition to being food-contact safe.  Made in USA.",White,"9.25"" D","Direct Process (4-3/4"" Dia.)","Bulk Packed / 37 lbs. per case of 100
Run Charge: Level 1",Bulk Packed,Bulk Packed / 37 lbs. per case of 100,,, Level 1,500,750,1000,2500,5000,2.00 ,1.95 ,1.90 ,1.80 ,1.75 
HL-106,New,64-oz. Sand Pail,Plastic,,64-ounce sand pail is made with premium materials. Excellent for packing with goodies.  Includes handle.  Made in USA. Optional shovel & decorated lid available. Offset decoration also available.  Contact factory or visit website for further details.,Plastic. 64-ounce sand pail is made with premium materials. Excellent for packing with goodies.  Includes handle.  Made in USA. Optional shovel & decorated lid available. Offset decoration also available.  Contact factory or visit website for further details.,"Blue, Orange, Purple, Red, Teal, White or Yellow","4.75"" H x 6"" D, 64 oz.","ColorPrint one side only: 3"" H x 6"" W
ColorPrint per side: 3"" H x 6"" W (1 color only)
ColorPrint: 3"" H x 15-1/2"" W (wrap, 1 color only)
Offset one side only: 3"" H x 6"" W
Offset per side: 3"" H x 6"" W (1 color only)
Offset: 3"" H x 15-1/2"" W (wrap, 1 color only)","Bulk Packed / 79 lbs. per case of 250
Run Charge: Level 1
Must specify handle color or White will be used as default.  Optional Shovels available at $0.25 (G) each.  Handles and Optional Shovels are available in: White, Red, Blue or Black.",Bulk Packed,Bulk Packed / 79 lbs. per case of 250,"Must specify handle color or White will be used as default.  Optional Shovels available at $0.25 (G) each.  Handles and Optional Shovels are available in: White, Red, Blue or Black.",, Level 1,250,500,1000,2500,5000,1.55 ,1.50 ,1.45 ,1.40 ,1.35 
